id,observed_on,quality_grade,longitude,latitude,common_name
1371682,2015-04-06,research,-123.096946,48.608122,copper rockfish
2244242,2015-10-13,research,-123.036364,48.584004,Greenstriped Rockfish
2451587,2015-10-19,research,-122.883453,48.570792,Greenstriped Rockfish
2456237,2015-11-04,research,-122.900405,48.5104533333,copper rockfish
2763497,2016-02-07,research,-123.591042,49.002339,Quillback Rockfish
2854164,2015-05-16,research,-123.554564,48.964565,Yelloweye rockfish
2854781,2015-05-16,research,-123.554564,48.964565,Puget Sound Rockfish
2854812,2015-05-16,research,-123.554564,48.964565,Quillback Rockfish
2854883,2015-05-16,research,-123.554564,48.964565,Quillback Rockfish
2976021,2013-10-13,research,-123.502679,48.940211,Quillback Rockfish
2976114,2013-10-13,research,-123.502679,48.940211,Quillback Rockfish
3707593,2016-05-06,research,-123.5043485,48.9402414,copper rockfish
5359866,2017-03-14,research,-122.7687211477,48.1437855441,copper rockfish
7303135,2017-07-31,research,-123.5042512,48.6487661,copper rockfish
8446332,2013-09-17,research,-125.248917,48.18373,Yelloweye rockfish
8456128,2008-10-18,research,-125.147581,48.834272,Quillback Rockfish
8456129,2008-10-18,research,-125.147581,48.834272,Quillback Rockfish
8482783,2010-07-15,research,-123.480835,48.577515,copper rockfish
8900415,2017-08-14,research,-123.3939743042,48.8702478094,copper rockfish
9281947,2017-07-28,research,-123.6952536728,49.0964510073,copper rockfish
12079432,2010-08-20,research,-123.03724,48.686526,copper rockfish
12120792,2010-06-04,research,-123.037133,48.686626,Quillback Rockfish
12120913,2013-07-22,research,-123.037112,48.686622,copper rockfish
13433877,2018-06-07,research,-125.1583548093,48.9504487969,China Rockfish
13433880,2018-06-07,research,-125.15844064,48.9503924308,Tiger Rockfish
13507128,2009-06-10,research,-125.1564352,48.9502131,Quillback Rockfish
15817764,2014-08-05,research,-125.2028618724,48.8147560044,Black rockfish
15829769,2018-07-18,research,-124.5722168122,48.370837791,copper rockfish
15863950,2017-08-02,research,-124.5773973999,48.3723450946,China Rockfish
